addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'3001'~'10 S. Riverside Plaza       3001'~'Chicago IL 60606 USA       3001'~~~'Chicago'~'15'~'60606'~'76'~~~
'3002'~'10 S. Riverside Plaza       3002'~'Chicago IL 60606 USA       3002'~~~'Royal Oak'~'1862'~'1003'~'122'~~~
'3003'~'10 S. Riverside Plaza       3003'~'Chicago IL 60606 USA       3003'~~~'Chicago'~'15'~'60605'~'76'~~~
'3004'~'10 S. Riverside Plaza       3004'~'Chicago IL 60606 USA       3004'~~~'Greensboro'~'28'~'27401'~'76'~~~
'3005'~'10 S. Riverside Plaza       3005'~'Chicago IL 60606 USA       3005'~~~'VANCOUVER'~'1103'~~'72'~~~
'3006'~'10 S. Riverside Plaza       3006'~'Chicago IL 60606 USA       3006'~~~'Norwalk'~'5'~'90650'~'76'~~~
'3007'~'10 S. Riverside Plaza       3007'~'Chicago IL 60606 USA       3007'~~~'Cairo'~~'11599'~'101'~~~
'3008'~'10 S. Riverside Plaza       3008'~'Chicago IL 60606 USA       3008'~~~'Glasgow'~~~'19'~~~
'3009'~'10 S. Riverside Plaza       3009'~'Chicago IL 60606 USA       3009'~~~'Sumner'~'48'~'98390'~'76'~~~
'3010'~'10 S. Riverside Plaza       3010'~'Chicago IL 60606 USA       3010'~~~'Alsip'~'15'~~'76'~~~
'3011'~'10 S. Riverside Plaza       3011'~'Chicago IL 60606 USA       3011'~~~'St John's'~'1106'~~'72'~~~
'3012'~'10 S. Riverside Plaza       3012'~'Chicago IL 60606 USA       3012'~~~'Lyon Cedex 2'~~'69228'~'22'~~~
'3013'~'10 S. Riverside Plaza       3013'~'Chicago IL 60606 USA       3013'~~~'Chisinau'~~~'9'~~~
'3014'~'10 S. Riverside Plaza       3014'~'Chicago IL 60606 USA       3014'~~~'MARION'~'36'~'43302'~'76'~~~
'3015'~'10 S. Riverside Plaza       3015'~'Chicago IL 60606 USA       3015'~~~'Gilroy'~'5'~'95020'~'76'~~~
'3016'~'10 S. Riverside Plaza       3016'~'Chicago IL 60606 USA       3016'~~~'Kingsburg'~'5'~'93631'~'76'~~~
'3017'~'10 S. Riverside Plaza       3017'~'Chicago IL 60606 USA       3017'~~~'Boucherville'~'1110'~~'72'~~~
'3018'~'10 S. Riverside Plaza       3018'~'Chicago IL 60606 USA       3018'~~~'NAMPA'~'14'~'83653'~'76'~~~
'3019'~'10 S. Riverside Plaza       3019'~'Chicago IL 60606 USA       3019'~~~'sotteville-lès-Rouen.'~~~'22'~~~
'3020'~'10 S. Riverside Plaza       3020'~'Chicago IL 60606 USA       3020'~~~'LA MOTTE ACHARD'~~~'22'~~~
'3021'~'10 S. Riverside Plaza       3021'~'Chicago IL 60606 USA       3021'~~~'Melbourne'~'836'~'3056'~'118'~~~
'3022'~'10 S. Riverside Plaza       3022'~'Chicago IL 60606 USA       3022'~~~'Walpole'~'20'~'02081'~'76'~~~
'3023'~'10 S. Riverside Plaza       3023'~'Chicago IL 60606 USA       3023'~~~'Grand Rapids'~'23'~'49507'~'76'~~~
'3024'~'10 S. Riverside Plaza       3024'~'Chicago IL 60606 USA       3024'~~~'Kinston'~'28'~~'76'~~~
'3025'~'10 S. Riverside Plaza       3025'~'Chicago IL 60606 USA       3025'~~~'San Leandro'~'5'~'94577'~'76'~~~
'3026'~'10 S. Riverside Plaza       3026'~'Chicago IL 60606 USA       3026'~~~'Burnie'~'835'~'7320'~'118'~~~
'3027'~'10 S. Riverside Plaza       3027'~'Chicago IL 60606 USA       3027'~~~'Greenfield'~'20'~'01301'~'76'~~~
'3028'~'10 S. Riverside Plaza       3028'~'Chicago IL 60606 USA       3028'~~~'Lagonissi'~~'19013'~'24'~~~
'3029'~'10 S. Riverside Plaza       3029'~'Chicago IL 60606 USA       3029'~~~'Marrickville'~'832'~'2204'~'118'~~~
'3030'~'10 S. Riverside Plaza       3030'~'Chicago IL 60606 USA       3030'~~~'Chester Hill'~'832'~'2162'~'118'~~~
'3031'~'10 S. Riverside Plaza       3031'~'Chicago IL 60606 USA       3031'~~~'SALEM'~'38'~'97303'~'76'~~~
'3032'~'10 S. Riverside Plaza       3032'~'Chicago IL 60606 USA       3032'~~~'Ruthven'~'1108'~~'72'~~~
'3033'~'10 S. Riverside Plaza       3033'~'Chicago IL 60606 USA       3033'~~~'Redmond'~'48'~'98052'~'76'~~~
'3034'~'10 S. Riverside Plaza       3034'~'Chicago IL 60606 USA       3034'~~~'WAYZATA'~'24'~'55391'~'76'~~~
'3035'~'10 S. Riverside Plaza       3035'~'Chicago IL 60606 USA       3035'~~~'Honolulu'~'12'~'96817'~'76'~~~
'3036'~'10 S. Riverside Plaza       3036'~'Chicago IL 60606 USA       3036'~~~'Concord'~'832'~'2137'~'118'~~~
'3037'~'10 S. Riverside Plaza       3037'~'Chicago IL 60606 USA       3037'~~~'Reading, Berks'~~~'19'~~~
'3038'~'10 S. Riverside Plaza       3038'~'Chicago IL 60606 USA       3038'~~~'Decatur'~'2'~'35601'~'76'~~~
'3039'~'10 S. Riverside Plaza       3039'~'Chicago IL 60606 USA       3039'~~~'Salisbury South'~'834'~'5106'~'118'~~~
'3040'~'10 S. Riverside Plaza       3040'~'Chicago IL 60606 USA       3040'~~~'Delta'~'1103'~~'72'~~~
'3041'~'10 S. Riverside Plaza       3041'~'Chicago IL 60606 USA       3041'~~~'Roztoky'~~~'36'~~~
'3042'~'10 S. Riverside Plaza       3042'~'Chicago IL 60606 USA       3042'~~~'Cuyahoga Falls'~'36'~'44223'~'76'~~~
'3043'~'10 S. Riverside Plaza       3043'~'Chicago IL 60606 USA       3043'~~~'Rochester'~'24'~'55904'~'76'~~~
'3044'~'10 S. Riverside Plaza       3044'~'Chicago IL 60606 USA       3044'~~~'Elgin'~'15'~'60123'~'76'~~~
'3045'~'10 S. Riverside Plaza       3045'~'Chicago IL 60606 USA       3045'~~~'Santa Monica'~'5'~'90404'~'76'~~~
'3046'~'10 S. Riverside Plaza       3046'~'Chicago IL 60606 USA       3046'~~~'Kogarah'~'832'~'2217'~'118'~~~
'3047'~'10 S. Riverside Plaza       3047'~'Chicago IL 60606 USA       3047'~~~'SACRAMENTO'~'5'~'95833'~'76'~~~
'3048'~'10 S. Riverside Plaza       3048'~'Chicago IL 60606 USA       3048'~~~'Toronto'~'1108'~~'72'~~~
'3049'~'10 S. Riverside Plaza       3049'~'Chicago IL 60606 USA       3049'~~~'Chippendale'~'832'~'2008'~'118'~~~
'3050'~'10 S. Riverside Plaza       3050'~'Chicago IL 60606 USA       3050'~~~'Rangiora'~~'8254'~'122'~~~
'3051'~'10 S. Riverside Plaza       3051'~'Chicago IL 60606 USA       3051'~~~'Honolulu'~'12'~'96826'~'76'~~~
'3052'~'10 S. Riverside Plaza       3052'~'Chicago IL 60606 USA       3052'~~~'Toronto'~'1108'~~'72'~~~
'3053'~'10 S. Riverside Plaza       3053'~'Chicago IL 60606 USA       3053'~~~'Kingsgrove'~'832'~'2208'~'118'~~~
'3054'~'10 S. Riverside Plaza       3054'~'Chicago IL 60606 USA       3054'~~~'Honolulu'~'12'~'96819'~'76'~~~
'3055'~'10 S. Riverside Plaza       3055'~'Chicago IL 60606 USA       3055'~~~'Stockton'~'5'~'95215'~'76'~~~
'3056'~'10 S. Riverside Plaza       3056'~'Chicago IL 60606 USA       3056'~~~'Monrovia'~'5'~'91016'~'76'~~~
'3057'~'10 S. Riverside Plaza       3057'~'Chicago IL 60606 USA       3057'~~~'Basingstoke'~~~'19'~~~
'3058'~'10 S. Riverside Plaza       3058'~'Chicago IL 60606 USA       3058'~~~'Vashon Island'~'48'~'98070'~'76'~~~
'3059'~'10 S. Riverside Plaza       3059'~'Chicago IL 60606 USA       3059'~~~'Nelson'~~~'122'~~~
'3060'~'10 S. Riverside Plaza       3060'~'Chicago IL 60606 USA       3060'~~~'Tilbrook'~'1647'~~'19'~~~
'3061'~'10 S. Riverside Plaza       3061'~'Chicago IL 60606 USA       3061'~~~'Silverwater'~'832'~'2128'~'118'~~~
'3062'~'10 S. Riverside Plaza       3062'~'Chicago IL 60606 USA       3062'~~~'Vaughan'~'1108'~~'72'~~~
'3063'~'10 S. Riverside Plaza       3063'~'Chicago IL 60606 USA       3063'~~~'West Palm Beach'~~'33409'~'76'~~~
'3064'~'10 S. Riverside Plaza       3064'~'Chicago IL 60606 USA       3064'~~~'ALBUQUERQUE'~'33'~'87103'~'76'~~~
'3065'~'10 S. Riverside Plaza       3065'~'Chicago IL 60606 USA       3065'~~~'O'Fallon'~'25'~'63366'~'76'~~~
'3066'~'10 S. Riverside Plaza       3066'~'Chicago IL 60606 USA       3066'~~~'Franfort'~'15'~'60423'~'76'~~~
'3067'~'10 S. Riverside Plaza       3067'~'Chicago IL 60606 USA       3067'~~~'Liverpool'~'832'~'2170'~'118'~~~
'3068'~'10 S. Riverside Plaza       3068'~'Chicago IL 60606 USA       3068'~~~'Torrance'~'44'~'77011'~'76'~~~
'3069'~'10 S. Riverside Plaza       3069'~'Chicago IL 60606 USA       3069'~~~'Columbia'~'41'~'29209'~'76'~~~
'3070'~'10 S. Riverside Plaza       3070'~'Chicago IL 60606 USA       3070'~~~'Fresno'~'5'~'93120'~'76'~~~
'3071'~'10 S. Riverside Plaza       3071'~'Chicago IL 60606 USA       3071'~~~'North Clayton'~'836'~'3068'~'118'~~~
'3072'~'10 S. Riverside Plaza       3072'~'Chicago IL 60606 USA       3072'~~~'West Liberty'~'13'~'52776'~'76'~~~
'3073'~'10 S. Riverside Plaza       3073'~'Chicago IL 60606 USA       3073'~~~'Bourges'~~'18000'~'22'~~~
'3074'~'10 S. Riverside Plaza       3074'~'Chicago IL 60606 USA       3074'~~~'Norwalk'~'36'~'44857'~'76'~~~
'3075'~'10 S. Riverside Plaza       3075'~'Chicago IL 60606 USA       3075'~~~'Norwalk'~'36'~~'76'~~~
'3076'~'10 S. Riverside Plaza       3076'~'Chicago IL 60606 USA       3076'~~~'Boone'~'28'~'28607'~'76'~~~
'3077'~'10 S. Riverside Plaza       3077'~'Chicago IL 60606 USA       3077'~~~'Vernon'~'5'~'90058'~'76'~~~
'3078'~'10 S. Riverside Plaza       3078'~'Chicago IL 60606 USA       3078'~~~'Stone Mountain'~'11'~'30087'~'76'~~~
'3079'~'10 S. Riverside Plaza       3079'~'Chicago IL 60606 USA       3079'~~~'Marrickville'~'832'~'2204'~'118'~~~
'3080'~'10 S. Riverside Plaza       3080'~'Chicago IL 60606 USA       3080'~~~'Selah'~'48'~'98942'~'76'~~~
'3081'~'10 S. Riverside Plaza       3081'~'Chicago IL 60606 USA       3081'~~~'Hiram'~'36'~'44234'~'76'~~~
'3082'~'10 S. Riverside Plaza       3082'~'Chicago IL 60606 USA       3082'~~~'Broadview'~'15'~'60155'~'76'~~~
'3083'~'10 S. Riverside Plaza       3083'~'Chicago IL 60606 USA       3083'~~~'Humble'~'44'~'77347'~'76'~~~
'3084'~'10 S. Riverside Plaza       3084'~'Chicago IL 60606 USA       3084'~~~'Springdale'~'3'~~'76'~~~
'3085'~'10 S. Riverside Plaza       3085'~'Chicago IL 60606 USA       3085'~~~'Des Moines'~'13'~'50317'~'76'~~~
'3086'~'10 S. Riverside Plaza       3086'~'Chicago IL 60606 USA       3086'~~~'Kiev'~~'2121'~'12'~~~
'3087'~'10 S. Riverside Plaza       3087'~'Chicago IL 60606 USA       3087'~~~'Brampton'~'1108'~'L6T 5C1'~'72'~~~
'3088'~'10 S. Riverside Plaza       3088'~'Chicago IL 60606 USA       3088'~~~'Phoenix'~'4'~'85009'~'76'~~~
'3089'~'10 S. Riverside Plaza       3089'~'Chicago IL 60606 USA       3089'~~~'Hart'~'23'~'49420'~'76'~~~
'3090'~'10 S. Riverside Plaza       3090'~'Chicago IL 60606 USA       3090'~~~'Seattle'~'48'~'98109'~'76'~~~
'3091'~'10 S. Riverside Plaza       3091'~'Chicago IL 60606 USA       3091'~~~'Santa Ana'~'5'~'92705'~'76'~~~
'3092'~'10 S. Riverside Plaza       3092'~'Chicago IL 60606 USA       3092'~~~'Ag. Stefanos, Athens'~~'14565'~'24'~~~
'3093'~'10 S. Riverside Plaza       3093'~'Chicago IL 60606 USA       3093'~~~'Nantes'~~'44300'~'22'~~~
'3094'~'10 S. Riverside Plaza       3094'~'Chicago IL 60606 USA       3094'~~~'Oakville'~'1108'~~'72'~~~
'3095'~'10 S. Riverside Plaza       3095'~'Chicago IL 60606 USA       3095'~~~'Altona North'~'836'~'3025'~'118'~~~
'3096'~'10 S. Riverside Plaza       3096'~'Chicago IL 60606 USA       3096'~~~'Buffalo'~'35'~'14225'~'76'~~~
'3097'~'10 S. Riverside Plaza       3097'~'Chicago IL 60606 USA       3097'~~~'Etobicoke'~'1108'~~'72'~~~
'3098'~'10 S. Riverside Plaza       3098'~'Chicago IL 60606 USA       3098'~~~'Kiev'~~'2156'~'12'~~~
'3099'~'10 S. Riverside Plaza       3099'~'Chicago IL 60606 USA       3099'~~~'Ajax'~'1108'~'L1S 2H1'~'72'~~~
'3100'~'10 S. Riverside Plaza       3100'~'Chicago IL 60606 USA       3100'~~~'MULGRAVE'~'836'~'3170'~'118'~~~
'3101'~'10 S. Riverside Plaza       3101'~'Chicago IL 60606 USA       3101'~~~'Broadmeadows'~'836'~'3047'~'118'~~~
'3102'~'10 S. Riverside Plaza       3102'~'Chicago IL 60606 USA       3102'~~~'Dallas'~'44'~~'76'~~~
'3103'~'10 S. Riverside Plaza       3103'~'Chicago IL 60606 USA       3103'~~~'Coominya'~'833'~'4311'~'118'~~~
'3104'~'10 S. Riverside Plaza       3104'~'Chicago IL 60606 USA       3104'~~~'Brampton'~'1108'~~'72'~~~
'3105'~'10 S. Riverside Plaza       3105'~'Chicago IL 60606 USA       3105'~~~'Pinconning'~'23'~'48650'~'76'~~~
'3106'~'10 S. Riverside Plaza       3106'~'Chicago IL 60606 USA       3106'~~~'Hamilton'~~~'122'~~~
'3107'~'10 S. Riverside Plaza       3107'~'Chicago IL 60606 USA       3107'~~~'VERNON'~'5'~'90058'~'76'~~~
'3108'~'10 S. Riverside Plaza       3108'~'Chicago IL 60606 USA       3108'~~~'Columbus'~'36'~'43228'~'76'~~~
'3109'~'10 S. Riverside Plaza       3109'~'Chicago IL 60606 USA       3109'~~~'Dallas'~'44'~'75204'~'76'~~~
'3110'~'10 S. Riverside Plaza       3110'~'Chicago IL 60606 USA       3110'~~~'TULSA'~'37'~'74104'~'76'~~~
'3111'~'10 S. Riverside Plaza       3111'~'Chicago IL 60606 USA       3111'~~~'HONOLULU'~'12'~'96819'~'76'~~~
'3112'~'10 S. Riverside Plaza       3112'~'Chicago IL 60606 USA       3112'~~~'Manukau'~~~'122'~~~
'3113'~'10 S. Riverside Plaza       3113'~'Chicago IL 60606 USA       3113'~~~'EAGAN'~'24'~'55121'~'76'~~~
'3114'~'10 S. Riverside Plaza       3114'~'Chicago IL 60606 USA       3114'~~~'Nasvhille'~'43'~'37204'~'76'~~~
'3115'~'10 S. Riverside Plaza       3115'~'Chicago IL 60606 USA       3115'~~~'Tallaght, Dublin 24'~~'24'~'16'~~~
'3116'~'10 S. Riverside Plaza       3116'~'Chicago IL 60606 USA       3116'~~~'Windsor'~'836'~'3181'~'118'~~~
'3117'~'10 S. Riverside Plaza       3117'~'Chicago IL 60606 USA       3117'~~~'Runcorn'~~~'19'~~~
'3118'~'10 S. Riverside Plaza       3118'~'Chicago IL 60606 USA       3118'~~~'Koropi'~'397'~'19400'~'24'~~~
'3119'~'10 S. Riverside Plaza       3119'~'Chicago IL 60606 USA       3119'~~~'Herons Creek'~'832'~'2443'~'118'~~~
'3120'~'10 S. Riverside Plaza       3120'~'Chicago IL 60606 USA       3120'~~~'Bagshot, Surrey'~~~'19'~~~
'3121'~'10 S. Riverside Plaza       3121'~'Chicago IL 60606 USA       3121'~~~'Kakhovka'~~'74800'~'12'~~~
'3122'~'10 S. Riverside Plaza       3122'~'Chicago IL 60606 USA       3122'~~~'Istra-2'~'2126'~'143502'~'11'~~~
'3123'~'10 S. Riverside Plaza       3123'~'Chicago IL 60606 USA       3123'~~~'Homebush'~'832'~'2140'~'118'~~~
'3124'~'10 S. Riverside Plaza       3124'~'Chicago IL 60606 USA       3124'~~~'Markham'~'1108'~~'72'~~~
'3125'~'10 S. Riverside Plaza       3125'~'Chicago IL 60606 USA       3125'~~~'Fairy Springs'~~'3015'~'122'~~~
'3126'~'10 S. Riverside Plaza       3126'~'Chicago IL 60606 USA       3126'~~~'Estate Vatuwaqa'~~~'119'~~~
'3127'~'10 S. Riverside Plaza       3127'~'Chicago IL 60606 USA       3127'~~~'Vatuwaqa Suva'~~~'119'~~~
'3128'~'10 S. Riverside Plaza       3128'~'Chicago IL 60606 USA       3128'~~~'Toronto'~'1108'~~'72'~~~
'3129'~'10 S. Riverside Plaza       3129'~'Chicago IL 60606 USA       3129'~~~'Toronto'~'1108'~~'72'~~~
'3130'~'10 S. Riverside Plaza       3130'~'Chicago IL 60606 USA       3130'~~~'South Concord'~'28'~'28027'~'76'~~~
'3131'~'10 S. Riverside Plaza       3131'~'Chicago IL 60606 USA       3131'~~~'MOMENCE'~'15'~'60954'~'76'~~~
'3132'~'10 S. Riverside Plaza       3132'~'Chicago IL 60606 USA       3132'~~~'SAVANNAH'~'11'~'31405'~'76'~~~
'3133'~'10 S. Riverside Plaza       3133'~'Chicago IL 60606 USA       3133'~~~'Baltimore'~'21'~'19709'~'76'~~~
'3134'~'10 S. Riverside Plaza       3134'~'Chicago IL 60606 USA       3134'~~~'Etobicoke'~'1108'~~'72'~~~
'3135'~'10 S. Riverside Plaza       3135'~'Chicago IL 60606 USA       3135'~~~'ST PETERSBURG'~~'33714'~'76'~~~
'3136'~'10 S. Riverside Plaza       3136'~'Chicago IL 60606 USA       3136'~~~'Moss Landing'~'5'~'95039'~'76'~~~
'3137'~'10 S. Riverside Plaza       3137'~'Chicago IL 60606 USA       3137'~~~'Shelby'~'23'~'49455'~'76'~~~
'3138'~'10 S. Riverside Plaza       3138'~'Chicago IL 60606 USA       3138'~~~'Bristol'~~~'19'~~~
'3139'~'10 S. Riverside Plaza       3139'~'Chicago IL 60606 USA       3139'~~~'Burnaby'~'1103'~~'72'~~~
'3140'~'10 S. Riverside Plaza       3140'~'Chicago IL 60606 USA       3140'~~~'NEW ULM'~'24'~'56073'~'76'~~~
'3141'~'10 S. Riverside Plaza       3141'~'Chicago IL 60606 USA       3141'~~~'Fresno'~'5'~'93721'~'76'~~~
'3142'~'10 S. Riverside Plaza       3142'~'Chicago IL 60606 USA       3142'~~~'Wetherill Park'~'832'~'2164'~'118'~~~
'3143'~'10 S. Riverside Plaza       3143'~'Chicago IL 60606 USA       3143'~~~'Pueblo'~'6'~'81001'~'76'~~~
'3144'~'10 S. Riverside Plaza       3144'~'Chicago IL 60606 USA       3144'~~~'Mississauga'~~~'72'~~~
'3145'~'10 S. Riverside Plaza       3145'~'Chicago IL 60606 USA       3145'~~~'St. Helens'~~~'19'~~~
'3146'~'10 S. Riverside Plaza       3146'~'Chicago IL 60606 USA       3146'~~~'Middlesex'~~~'19'~~~
'3147'~'10 S. Riverside Plaza       3147'~'Chicago IL 60606 USA       3147'~~~'Melbourne'~'836'~'3149'~'118'~~~
'3148'~'10 S. Riverside Plaza       3148'~'Chicago IL 60606 USA       3148'~~~'Waterbury'~'47'~'05676'~'76'~~~
'3149'~'10 S. Riverside Plaza       3149'~'Chicago IL 60606 USA       3149'~~~'Lyn'~'1108'~~'72'~~~
'3150'~'10 S. Riverside Plaza       3150'~'Chicago IL 60606 USA       3150'~~~'Barishevka'~~'7500'~'12'~~~
'3151'~'10 S. Riverside Plaza       3151'~'Chicago IL 60606 USA       3151'~~~'Chicago'~'15'~'60632'~'76'~~~
'3152'~'10 S. Riverside Plaza       3152'~'Chicago IL 60606 USA       3152'~~~'Hermatige'~'39'~'16148'~'76'~~~
'3153'~'10 S. Riverside Plaza       3153'~'Chicago IL 60606 USA       3153'~~~'Vancouver'~'1103'~~'72'~~~
'3154'~'10 S. Riverside Plaza       3154'~'Chicago IL 60606 USA       3154'~~~'VANCOUVER'~'1103'~~'72'~~~
'3155'~'10 S. Riverside Plaza       3155'~'Chicago IL 60606 USA       3155'~~~'St Paul'~'24'~'55107'~'76'~~~
'3156'~'10 S. Riverside Plaza       3156'~'Chicago IL 60606 USA       3156'~~~'Claremont'~'28'~'28610'~'76'~~~
'3157'~'10 S. Riverside Plaza       3157'~'Chicago IL 60606 USA       3157'~~~'ATLANTA'~'11'~'30331'~'76'~~~
'3158'~'10 S. Riverside Plaza       3158'~'Chicago IL 60606 USA       3158'~~~'Columbus'~'36'~'43219'~'76'~~~
'3159'~'10 S. Riverside Plaza       3159'~'Chicago IL 60606 USA       3159'~''~''~'Mangere'~'1862'~''~'122'~~'774A1E5A-A85E-4823-9081-4EDEF242B390'~'4AEB6BD7-3B7D-4C04-BAC4-EB48F6190646'
'3160'~'10 S. Riverside Plaza       3160'~'Chicago IL 60606 USA       3160'~~~'Norwood'~'32'~'07648'~'76'~~~
'3161'~'10 S. Riverside Plaza       3161'~'Chicago IL 60606 USA       3161'~~~'Toronto'~'1108'~~'72'~~~
'3162'~'10 S. Riverside Plaza       3162'~'Chicago IL 60606 USA       3162'~~~'KNOXVILLE'~'43'~'37921'~'76'~~~
'3163'~'10 S. Riverside Plaza       3163'~'Chicago IL 60606 USA       3163'~~~'Baltimore'~'21'~'21229'~'76'~~~
'3164'~'10 S. Riverside Plaza       3164'~'Chicago IL 60606 USA       3164'~~~'Louisville'~'18'~'40211'~'76'~~~
'3165'~'10 S. Riverside Plaza       3165'~'Chicago IL 60606 USA       3165'~~~'Chicago'~'15'~'60624'~'76'~~~
'3166'~'10 S. Riverside Plaza       3166'~'Chicago IL 60606 USA       3166'~~~'Whitehouse'~'32'~'08888'~'76'~~~
'3167'~'10 S. Riverside Plaza       3167'~'Chicago IL 60606 USA       3167'~~~'Dora Creek'~'832'~'2264'~'118'~~~
'3168'~'10 S. Riverside Plaza       3168'~'Chicago IL 60606 USA       3168'~~~'Dallas'~'44'~'75219'~'76'~~~
'3169'~'10 S. Riverside Plaza       3169'~'Chicago IL 60606 USA       3169'~~~'South Melbourne'~'836'~'3205'~'118'~~~
'3170'~'10 S. Riverside Plaza       3170'~'Chicago IL 60606 USA       3170'~~~'N. Kifissia'~'397'~'145 64'~'24'~~~
'3171'~'10 S. Riverside Plaza       3171'~'Chicago IL 60606 USA       3171'~~~'NIVELLES'~~'1400'~'21'~~~
'3172'~'10 S. Riverside Plaza       3172'~'Chicago IL 60606 USA       3172'~~~'EAE de la Tuilerie'~~'77645'~'22'~~~
'3173'~'10 S. Riverside Plaza       3173'~'Chicago IL 60606 USA       3173'~~~'Byron Bay'~'832'~'2481'~'118'~~~
'3174'~'10 S. Riverside Plaza       3174'~'Chicago IL 60606 USA       3174'~~~'Brea'~'5'~'92821'~'76'~~~
'3175'~'10 S. Riverside Plaza       3175'~'Chicago IL 60606 USA       3175'~~~'Brea'~'5'~'92821'~'76'~~~
'3176'~'10 S. Riverside Plaza       3176'~'Chicago IL 60606 USA       3176'~~~'Santa Ana'~'5'~'92703'~'76'~~~
'3177'~'10 S. Riverside Plaza       3177'~'Chicago IL 60606 USA       3177'~~~'Kingsey Falls'~'1110'~~'72'~~~
'3178'~'10 S. Riverside Plaza       3178'~'Chicago IL 60606 USA       3178'~~~'ARQUES'~~'62510'~'22'~~~
'3179'~'10 S. Riverside Plaza       3179'~'Chicago IL 60606 USA       3179'~~~'Chicago'~'15'~'60639'~'76'~~~
'3180'~'10 S. Riverside Plaza       3180'~'Chicago IL 60606 USA       3180'~~~'Tillamook'~'38'~'97141'~'76'~~~
'3181'~'10 S. Riverside Plaza       3181'~'Chicago IL 60606 USA       3181'~~~'Kentwood'~'23'~'49512'~'76'~~~
'3182'~'10 S. Riverside Plaza       3182'~'Chicago IL 60606 USA       3182'~~~'Green Bay'~'49'~'54301'~'76'~~~
'3183'~'10 S. Riverside Plaza       3183'~'Chicago IL 60606 USA       3183'~~~'Salt Lake City'~'45'~~'76'~~~
'3184'~'10 S. Riverside Plaza       3184'~'Chicago IL 60606 USA       3184'~~~'Chino'~'5'~'91710'~'76'~~~
'3185'~'10 S. Riverside Plaza       3185'~'Chicago IL 60606 USA       3185'~~~'Burlington'~'1108'~~'72'~~~
'3186'~'10 S. Riverside Plaza       3186'~'Chicago IL 60606 USA       3186'~~~'Palmyra'~'837'~'6157'~'118'~~~
'3187'~'10 S. Riverside Plaza       3187'~'Chicago IL 60606 USA       3187'~~~'unknown'~~~'121'~~~
'3188'~'10 S. Riverside Plaza       3188'~'Chicago IL 60606 USA       3188'~~~'Irwindale'~'5'~'91706'~'76'~~~
'3189'~'10 S. Riverside Plaza       3189'~'Chicago IL 60606 USA       3189'~~~'Waterloo'~'1108'~~'72'~~~
'3190'~'10 S. Riverside Plaza       3190'~'Chicago IL 60606 USA       3190'~~~'CHICAGO'~'15'~'60624'~'76'~~~
'3191'~'10 S. Riverside Plaza       3191'~'Chicago IL 60606 USA       3191'~~~'Paramus'~'32'~'07652'~'76'~~~
'3192'~'10 S. Riverside Plaza       3192'~'Chicago IL 60606 USA       3192'~~~'Peterborough, Cambridges.'~~~'19'~~~
'3193'~'10 S. Riverside Plaza       3193'~'Chicago IL 60606 USA       3193'~~~'Murwillumbah'~'832'~'2484'~'118'~~~
'3194'~'10 S. Riverside Plaza       3194'~'Chicago IL 60606 USA       3194'~~~'Morristown'~'16'~'46161'~'76'~~~
'3195'~'10 S. Riverside Plaza       3195'~'Chicago IL 60606 USA       3195'~~~'Denver'~'6'~'80216'~'76'~~~
'3196'~'10 S. Riverside Plaza       3196'~'Chicago IL 60606 USA       3196'~~~'Hantsport'~'1107'~~'72'~~~
'3197'~'10 S. Riverside Plaza       3197'~'Chicago IL 60606 USA       3197'~~~'Kiev'~~'2160'~'12'~~~
'3198'~'10 S. Riverside Plaza       3198'~'Chicago IL 60606 USA       3198'~~~'LOUISVILLE'~'18'~'40214'~'76'~~~
'3199'~'10 S. Riverside Plaza       3199'~'Chicago IL 60606 USA       3199'~~~'Kearns'~'45'~~'76'~~~
'3200'~'10 S. Riverside Plaza       3200'~'Chicago IL 60606 USA       3200'~~~'Danville'~'16'~'46122'~'76'~~~
'3201'~'10 S. Riverside Plaza       3201'~'Chicago IL 60606 USA       3201'~~~'Manteno'~'15'~'60950'~'76'~~~
'3202'~'10 S. Riverside Plaza       3202'~'Chicago IL 60606 USA       3202'~~~'Bassendean'~'837'~'6054'~'118'~~~
'3203'~'10 S. Riverside Plaza       3203'~'Chicago IL 60606 USA       3203'~~~'Mount Maunganui'~~'3116'~'122'~~~
